,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
175,-110.52429120631007,-77.11284559567432,175.0,punta arenas,5.82,40.05,100.0,75.0
177,46.80201665763093,-55.92241358381371,177.0,east london,10.29,75.2,64.0,0.0
178,14.545765969841597,33.96593866062068,178.0,masallatah,11.81,76.45,30.0,0.0
179,-121.1594348174732,38.408872836498546,179.0,galt,2.59,49.08,81.0,1.0
180,174.0364735831696,-27.973932419892996,180.0,kaeo,8.86,58.18,97.0,48.0
181,159.96486355303426,61.781073557158464,181.0,evensk,11.1,31.54,90.0,88.0
182,96.78969930711719,-1.2032310685268328,182.0,sibolga,0.81,70.87,100.0,44.0
183,142.51160626770684,-39.33450101415002,183.0,warrnambool,7.29,60.07,98.0,44.0
184,142.21082378244864,-14.311318824568673,184.0,mareeba,8.05,75.2,73.0,8.0
191,110.15756867987528,6.857215868933864,191.0,miri,1.52,93.1,40.0,8.0
193,156.44135943367513,-38.23127608337812,193.0,ulladulla,4.7,55.4,100.0,40.0
197,-77.71135152212904,44.60571206408963,197.0,marmora,3.36,77.0,25.0,0.0
198,108.34739079629958,-2.7005389124547463,198.0,manggar,2.98,78.07,99.0,12.0
200,128.39704624931932,9.394459848123432,200.0,bacolod,5.88,77.26,93.0,48.0
203,130.4920661358625,83.07711885328212,203.0,tiksi,4.05,22.45,86.0,88.0
204,53.123113318607324,-16.243044025515516,204.0,antalaha,8.12,79.33,92.0,80.0
205,-75.1497717446553,12.819678359236676,205.0,puerto colombia,16.11,84.2,74.0,40.0
208,72.79593298271612,33.456257677300485,208.0,rawalpindi,11.41,73.4,43.0,0.0
210,-140.7347062738229,52.43869763998538,210.0,sitka,12.55,47.2,100.0,92.0
212,76.20856037266344,20.602025887447923,212.0,buldana,8.57,87.43,29.0,0.0
215,-69.95725609982082,-35.73197007835777,215.0,molina,5.82,55.4,87.0,20.0
218,-169.67740660245994,62.447476416904664,218.0,lavrentiya,21.39,18.94,97.0,0.0
219,-126.83410438952748,41.85579840600326,219.0,eureka,7.34,41.0,86.0,1.0
